Id,Name,Authors,ISBN,Rating,RatingDistTotal,PagesNumber,PublishDate,Publisher,Description
14,His Brother's Keeper,Jonathan Weiner,7142188,3.76,250,368,7/5/2004,Not Avail,"Pulitzer-prize winning author Jonathan Weiner's revealing story of the science that is about to change all life forever.Biology used to be a science of the way things are. Now it is a science of the way things work, like physics or engineering. Biology's progress fascinates and appals us because it has gone from learning the ways of nature to trying to turn her. In his extraordinary new book, Jonathan Weiner reveals the life-changing discoveries that have been converging over the past half a century to bring us to a moment when biology has the power to change life as we know it.When Stephen Heywood, a carpenter, discovered he had A.L.S., a gradual, mysterious deterioration of the nervous system, Jamie Heywood, gave up his lucrative job to try and save his brother's life. He worked with cutting-edge scientists in a race to find a cure. Through this remarkable journey with a family in crisis, we are given an overview of the various gene therapies that are still on the horizon, capable of potentially bringing back those suffering from neurological diseases such as ALS, Alzheimer's, Parkinson's, and other various disorders of the brain. Through Jonathan Weiner's translucent prose, we e"
15,Seeking Rapture: Scenes from a Woman's Life,Kathryn Harrison,7143192,3,147,212,5/1/2004,Fourth Estate,"From the bestselling author of THE BINDING CHAIR, this greatly acclaimed and dazzling follow-up to her memoir THE KISS explores the bonds of motherhood between four generations.  When Kathryn Harrison was a little girl, her young mother left her in the care of her British grandmother who was raised in Shanghai. To Kathryn, her mother's mother seemed an almost unimaginably powerful figure: an imperious arbiter of good taste and a master storyteller, who, when coaxed, might reveal stories of a magic and vanished world. She jilted an array of suitable men before concluding that she was not quite modern enough to have a baby without a husband. At the age of 43 she finally married, and the fruit of this union, Harrison's mother, was no more interested than she in being bound by convention. An occasional witness to her daughter's growth to adulthood, she would appear sporadically in film-star clothes and urge unwanted glamour on her shy child. Harrison grew up a spectator of the remarkable, striving to comprehend these women and yet find her own way to live.  In this witty, touching memoir, Harrison writes of the ties that bind mothers to their children – and the forces that can drive them apart. She ponders the legacy of storytelling she inherited from her grandmother, and peers into the deep well of family history from which she draws inspiration for her novels. Reconsidering her past as she watches her own children grow, she recalls the thrilling risk of shoplifting; the longing for perfection that resulted in a fierce eating disorder; the thunderous fights that showed how impossible and how necessary it was to leave home. SEEKING RAPTURE conveys the aching tenderness Harrison feels toward her children, and her awe of their imaginary worlds that no adult can enter. This powerfully evocative book will awaken readers to sift through their own sense of motherhood, loss and regeneration. In prose that sings, SEEKING RAPTURE chronicles the unforgettable episodes that form the drama of domestic life."
16,The Healthy Thyroid: What you can do to prevent and alleviate thyroid imbalance,Patsy Westcott,7146612,2.75,4,256,9/11/2009,Thorsons,"Thyroid health is an increasingly common concern. This updated edition (formerly titled 'Thyroid Problems’) is a clear and practical guide to symptoms, treatment options and self-help measures for those who have, or think they may have a thyroid related problem.   Sales Handles: • It’s estimated that 1 in 10 women have a thyroid imbalance**, but as symptoms are diverse the problem is often unresolved. This book shows how to identify a thyroid problem, relieve symptoms, and obtain treatment.   The symptoms of a thyroid imbalance include Chronic Fatigue, Weight Gain, Mood Swings, as well as dried out skin and hair, changes in libido and menstrual problems.   This new edition has been fully re-structured and includes a large amount of new material to reflect the needs of today’s readers.   Contains detailed information about natural health and complementary treatments to help relieve symptoms.   Gives the low-down on thyroid hormone tests and other orthodox medical procedures that may be offered.   Is an informative yet simple book that provides a ‘patients-eye’ view of thyroid imbalance so readers can better understand their doctors.   Discusses the links between sub-clinical thyroid problems (the most common sort – that cause longterm problems but are hard to pin down) and other conditions such as depression, obesity."
17,The Dairy-Free Detox Diet: The 2 Week Plan,Dawn Hamilton,7147872,3.33,3,224,8/4/2011,Thorsons,"Improve your health and well-being and lose weight too by dropping dairy products from your diet and following this excellent 14-day detox plan from the co-author of Lose Wheat, Lose Weight. Includes 30 dairy-free recipes from healthy eating expert and author of Healing Foods and More Healing Foods that make the detox plan easy to stick to.   From the co-author of the best-selling topical health bestseller Lose Wheat, Lose Weight comes another allergy-busting health regime.   The book provides a simple, 14-day dairy-free detox programme and 30 recipes. It also tells you how to test yourself for a dairy intolerance.   Everyone can benefit from cutting dairy products out of their diet, especially those who suffer from bloating, respiratory problems, fatigue and many other symptoms linked to food intolerance. Dairy has been linked to a host of health problems, including IBS, PMT, eczema and other skin conditions, rhinitis (nasal drip), asthma, osteoporosis and depression.   Dairy is one of the key allergy-causing ingredients that people who suspect food intolerance exclude from their diet.   This book provides an insight into why dairy is such a problem, the link between dairy and weight and how to rebalance the body’s systems (digestive, lymph, skin and lungs) through the dairy-free detox."
18,The Essential Spike Milligan,Spike Milligan,7155115,4,626,352,2/6/2003,Fourth Estate,"A Spike Milligan opus, containing everything from classics to hidden gems, with a foreword by Eddie Izzard.   This stunning anthology of Spike Milligan's work comprises of favourites from his classic books (‘Adolf Hitler: My Part in his Downfall’, ‘Goodbye Soldier’, ‘Puckoon’…) as well as scripts from the now-classic Goon Show. Interspersing such comic genius is also a touching collection of letters and his celebrated and liberating writings on depression, demonstrating the diverse talent of a man whose creative output spanned over half a century.   A selection of children's poetry and writings (‘Unspun Socks for A Chicken's Laundry’, ‘A Book of Milliganimals’, ‘Silly Verse for Kids’ and much more) reveals Spike's irresistible connection with the childlike imagination and a brillant sense of the ridiculous. All the favourite and funniest stories are there. For those who want an excellent introduction to the mind of Milligan or a welcome return to a much-loved genius, this is the ultimate Milligan reader."
19,"Feeling the Vibes (Angels Unlimited, #11)",Annie Dalton,7161409,3.92,191,208,1/10/2008,Harper Collins Children's Books,"With her inner angel in disorder, Mel is confined to the Agency's headquarters, where she helps out at the Divine nursery. While there, she discovers that calm little Obi will soon be leaving the school and is destined to become a great spiritual leader on Earth. Mel knows she must accompany him on his dangerous journey, but suddenly something scares Obi, and he vanishes. Mel and her friends know the little boy is in India, but nobody knows exactly where. On a mission that is both illegal and dangerous, the angels must travel across India--and through time--until they track down Obi."
20,Shooting History: A Personal Journey,Jon Snow,7171846,3.99,255,352,1/10/2004,HarperCollins UK,"Jon Snow is perhaps the most highly regarded newsman of our time. His vivid personal chronicle is filled with anecdotes and pithy observations, and delightfully records his life and times since becoming a journalist in the early 1970s. He reported widely on Cold War conflicts in Iran, Iraq, Afghanistan, Eritrea, Ethiopia, Angola, and Central America before becoming a resident correspondent in Washington D.C. in the 1980s. He has pertinent things to say about how the increasing world disorder came about following the fall of the Berlin Wall, how the West’s constant search for an enemy has helped unhinge the world, and how and why the media have, in general, been less than helpful in drawing attention to key political and global developments."
21,Bobby Moore: By the Person Who Knew Him Best,Tina     Moore,7173970,4.23,138,336,1/3/2006,HarperCollins UK,"A new biography on the late Bobby Moore, captain of England's World Cup winning side of 1966, one of the greatest footballers of his generation, and a man who personified Britain in the swinging sixties. This is his powerful and moving life story, including his battle against cancer, as told by his first wife Tina. With her, he went through all the triumphs and crises of his professional career - the life-threatening illness that struck him at 23, his clashes with West Ham (and later England) manager Ron Greenwood, his emergence as a footballer of international renown, the almost unheard of media intrusion and the kidnap threats on their children, that amazing 1966 World Cup Final day, the drama of Bogota when he was accused of theft, and his depression as he struggled to adapt to the end of his playing career. Tina Moore's story of her life with Bobby, the break-up of their marriage and what happened afterwards, is inspirational, candid and told with revelations and authentic insight into what made Bobby tick."
22,Sugar Addicts’ Diet,Nicki Waterman,7190956,3.23,13,352,6/19/2014,Harper Thorsons,"Ex-sugar addict Nicki Waterman, the face of GMTV fitness, describes how and why she beat her sugar habit – and how you can too. The Sugar Addict's Diet is a brand new nutrition plan that will help you lose weight and eliminate ailments by eliminating sugar entirely from your diet and increasing your levels of good fats to bust those cravings.   Nicki Waterman's struggle with her own sugar addiction introduces this excellent and topical diet book. Refined sugar is the big baddie in our lives – food companies and marketing executives are making the ‘cocaine of the food industry’ enormously difficult to avoid. Hidden sugars are everywhere and Nicki helps you to negotiate your way around the pitfalls on supermarket shelves.   • Discover if you are a sugar addict by checking your symptoms – are you overweight, lacking energy, suffering headaches, irritable…? • Learn how sugar contributes to major health issues, including obesity, diabetes, cancer, depression, candida, acne and a host of other problems. • Understand the physical and emotional aspects of your addiction and what the real cost to your well being is. • Cope with ‘sugar dealers’ – people and situations that could set you on the wrong track. • Lose weight and stop cravings by increasing your intake of the right fats – follow Nicki and Martha’s easy-to follow 14 day plan with delicious recipes. • Win the sugar war with your kids by helping them choose healthier options – and defeat the marketing industry’s ever-present and invasive temptations."
23,The Other Side of Israel: My Journey Across the Jewish/Arab Divide,Susan Nathan,7195117,4.11,212,320,6/19/2006,Harper Perennial,"The pioneering autobiographical story of a British Zionist in her fifties who moves to Israel and chooses to live among 25,000 Muslims in the all-Arab Israeli town of Tamra, a few miles from Nazareth.  Susan Nathan’s revelatory book about her new life across the ethnic divide in Israel is already creating international interest. At a time when Middle Eastern politics (in many ways central to the current world disorder) have become mired in endless tit-for-tat killings, Susan Nathan is showing – by her own daily example – that it is perfectly possible for Jews and Arabs to live peacefully together in a single community, recognising their common humanity.  The author’s familiarity with the former injustices of apartheid South Africa enables her to draw telling comparisons with the state of Israel. The increasing segregation of, and discrimintation against, the million-strong Arabic population of Israel is something she witnesses at first hand, but in describing her experiences in Tamra she is as observant of Arab frailties as of Jewish oppression.  Written with warmth, compassion and humour,  ‘The Other Side of Israel’  is one courageous woman’s positive life-enhancing response to a situation in which entrenched attitudes lead only to more violence and bloodshed."
24,Graham Thorpe: Rising from the Ashes,Graham Thorpe,7205961,3.48,66,416,6/1/2006,HarperCollins UK,"Graham Thorpe's achievements on the pitch have often contrasted wildly with his personal problems away from cricket, where drink and depression have often combined to send him spiralling off the rails. With painful candour and often unexpected humour, Thorpe dissects his career in cricket and the inner recesses of his private life—the impact of his bitter divorce, the suicidal depression that afflicted him in his darkest hours, the reasons why he needed to 'save himself' by withdrawing from past England tours, and his fresh outlook in life with a new partner after confronting his own failings and past troubles."
25,Take That – Now and Then: Inside the Biggest Comeback in British Pop History,Martin Roach,7232586,3.65,51,320,9/9/2011,Harper,"This book recounts the entire story of the most successful British band since The Beatles. From their humble beginnings to the break-up that shook the pop world, to their explosive and successful come-back tour a decade later, TAKE THAT – NOW AND THEN exposes the intimate details of the band that changed pop history.   Containing hot behind-the-scenes information on the band’s sell-out come-back tour, Take That – Now and Then gives a complete history of the band, with revelations on what's happened over the band's time together and apart, and allows you to relive the tour experience all over again.   Formed in Manchester in the early '90s, everyone had their Take That favourite, from the cheeky Robbie to gorgeous Mark Owen. Gary Barlow, Howard Donald and Jason Orange completed the group, and they went from strength to strength with their unique mix of high-energy dance tunes and soulful ballads.   But theirs was not an easy beginning. Gruelling training schedules, tours across the nation in gay clubs that saw their bottoms pinched and empty school halls on a 'Safe Sex tour', all had to be endured before the boys finally 'made it' in the fickle world of pop music. But once they made it, boy did they make it! The only thing more certain than Take Take's next single going straight into the Top Ten was that they would clean up at every award ceremony going, both as a group and as individuals.   But behind the glamour and success, tensions were mounting. Robbie Williams was sliding into the depths of depression, and on the eve of their 1995 tour, he left the band. By 1996, Take That were no more.   Speaking exclusively to those inside the music industry who knew them best, many of whom have never spoken publicly about their experiences, music journalist Martin Roach recounts exactly what went on behind the scenes during those years, as well as providing first-hand accounts of the fickle world of pop from members of some of the UK's most prolific boy-band members."
26,Neil Lennon: Man and Bhoy,Neil Lennon,7233485,3.69,65,400,6/10/2011,HarperSport,"Captain of Celtic and midfield enforcer for Northern Ireland, Neil Lennon is one of the most controversial figures in British football. His story, fully updated for the Celtic 2006/7 season in this paperback edition, is an extraordinary tale of religious bigotry, life-threatening career injury and tumultuous football success at club level.   The first Northern Irish Roman Catholic to play for Celtic and to be chosen to captain his country, Lennon was sensationally forced to quit the captaincy even before he took the field following death threats by Loyalist paramilitaries.   In Northern Ireland, the words ‘Neil Lennon RIP’ were painted on a wall near his family home, while in Scotland, he has been the target of vicious verbal and physical assault by fans of Old Firm rivals Rangers – including being mugged on the street and hung in effigy. Now he will give his side of these stories, revealing in full the terrible consequences of the religious hatred that has tainted his career.   Lennon will write of his Leicester years under Martin O’Neill, and how the Midlands club defied bigger rivals by maintaining their Premiership League status and winning two League Cups. He will also tell the inside story of Celtic under O’Neill; how his £5 million transfer to Parkhead nearly didn’t happen; his wrongful arrest on a club night out; lifting the domestic treble in a glorious first season with Celtic, and the continued revival of the club to the point where they reached the UEFA Cup Final (narrowly losing out to a Jose Mourinho-inspired Porto); and his relationship with current boss Gordon Strachan.   As he approaches the twilight of his playing career, Lennon has decided the time is right to reveal all about his life on the field – including his horrific spinal injury and his less than happy apprenticeships at Motherwell and Manchester City – as well as his hitherto closely guarded private life, including his battle with depression.   It’s a book that will shock football to its core."
27,God’s Little Book of Calm,Richard Daly,7234031,4.43,7,160,4/3/2006,Collins,"This wonderful little book provides in a nutshell words that can restore a sense of wellbeing and peace. Each page has an inspirational thought or idea, along with a related Bible reference for futrther reading and encouragement.   ‘It is not work that wears us out, but sadness, anxiety and worry. To God, all your griefs are worthy of consideration.’   This wonderful collection of spiritual thoughts restores peace to our minds and brings refreshment to our hearts, enabling us to face the challenges ahead. Full of spiritual gems, this book will prove its value time and again whenever life gets too much:   ‘Talking to someone about your problems or fears reduce the pain by 50%, so when everyone else fails God simply says, “Come to me”.’   ‘Worry is blind and cannot discern the future. But God sees the end from the beginning and in every difficulty he has his way prepared to bring relief.’"
28,Damaged: The Heartbreaking True Story of a Forgotten Child,Cathy Glass,7236344,4.23,15287,339,January 1st 2007,Harper Element,"Although Jodie is only eight years old, she is violent, aggressive, and has already been through numerous foster families. Her last hope is Cathy Glass. At the Social Services office, Cathy (an experienced foster carer) is pressured into taking Jodie as a new placement. Jodie's challenging behaviour has seen off five carers in four months. Despite her reservations, Cathy d Although Jodie is only eight years old, she is violent, aggressive, and has already been through numerous foster families. Her last hope is Cathy Glass. At the Social Services office, Cathy (an experienced foster carer) is pressured into taking Jodie as a new placement. Jodie's challenging behaviour has seen off five carers in four months. Despite her reservations, Cathy decides to accept Jodie to protect her from being placed in an institution. Jodie arrives, and her first act is to soil herself, and then wipe it on her face, grinning wickedly. Jodie meets Cathy's teenage children, and greets them with a sharp kick to the shins. That night, Cathy finds Jodie covered in blood, having cut her own wrist, and smeared the blood over her face. As Jodie begins to trust Cathy her behaviour improves. Over time, with childish honesty, she reveals details of her abuse at the hands of her parents and others. It becomes clear that Jodie's parents were involved in a sickening paedophile ring, with neighbours and Social Services not seeing what should have been obvious signs. Unfortunately Jodie becomes increasingly withdrawn, and it's clear she needs psychiatric therapy. Cathy urges the Social Services to provide funding, but instead they decide to take Jodie away from her, and place her in a residential unit. Although the paedophile ring is investigated and brought to justice, Jodie's future is still up in the air. Cathy promises that she will stand by her no matter what -- her love for the abandoned Jodie is unbreakable."
29,Beyond Fear,Dorothy Rowe,7246595,4.09,75,416,3/5/2007,Harper Perennial,"Dorothy Rowe shows us how to have the courage to acknowledge and face our fears – only through courage can we find a sustaining happiness.   ‘Beyond Fear’, first published in 1987, has changed the lives of thousands of people. In this edition, the renowned psychologist Dorothy Rowe examines the changes in the psychiatric system since 1987 in the context of showing how most of our suffering comes from our greatest fear, that of being annihilated as a person, when we shall disappear like a puff of smoke in the wind, never to have existed.   We feel this fear whenever others humiliate or belittle us, or whenever we discover a serious discrepancy between what we thought our life was and what it actually is. The greater our fear, the more desperate our defence against it, the most desperate of defences being what psychiatrists call mental disorders. Yet, by knowing ourselves we can go beyond our fear and face life with courage."
30,Not Without My Sister: The True Story of Three Girls Violated and Betrayed,Kristina Jones,7248067,4,6851,416,2/7/2007,HarperCollins UK,"Kristina, Celeste, and Juliana were all born into the Children of God cult, and from as early as three years old were mistreated and used as sexual beings. They were denied access to formal schooling, forced to wander the streets begging for money, and were mercilessly beaten for ""crimes"" as harmless as reading an encyclopedia. After being separated from each other and their mothers and forced to live in various missions with multiple foster parents, the sisters eventually managed to escape. In this startling exposé, they have come together to reveal in horrific detail the group that has destroyed the lives of so many. Their intertwining stories reveal a community spread throughout the world whose legacy of anorexia, depression, drug abuse, suicide, and even murder are impossible to erase. Together, the sisters found a strength that finally enabled them to uncover and free themselves from the shadows of their past."
31,Not Without My Sister: The True Story of Three Girls Violated and Betrayed by Those They Trusted,Kristina Jones,7248075,3.95,6926,416,1/7/2008,HarperElement,"The bestselling, devastating account of three sisters torn apart, abused and exploited at the hands of a community that robbed them of their childhood. It reveals three lives, separate but entwined, that have experienced unspeakable horror, unrelenting loyalty and unforgettable courage.  From as early as three years old, Juliana, Celeste and Kristina were treated as sexual beings by their 'guardians' in the infamous religious cult known as the Children of God. They were made to watch and mimic orgies, received love letters and sexual advances from men old enough to be their grandfather, and were forced into abusive relationships. They were denied access to formal schooling, had to wander the streets begging for money, and were mercilessly beaten for 'crimes' as unpredictable as reading an encyclopaedia.  Finally, unable to live with the guilt of what had happened to her children, their mother escaped with Kristina, cutting herself off from her remaining children in a bid to save at least one child. Desperate to save her sisters, Kristina eventually returned to the place of her torture to free Celeste. Years later, Juliana found the courage to escape, knowing that the child she was carrying would be subjected to the same fate if she did not.  Now the three sisters have finally come together to reveal in full and horrific detail their existence within the Children of God cult. Their stories reveal a community spread throughout the world and its legacy of anorexia, depression, drug abuse, suicide and even murder. Lives are ripped apart and painstakingly mended with a shared strength that finally enabled the sisters to free themselves from the shadows of their past."
