ID,Author,Quotes
135,Wayne Dyer,"If you change the way you look at things, the things you look at change"
136,Arthur Ashe,We must reach out our hand in friendship and dignity both to those who would befriend us and those who would be our enemy
137,Bill Gates,It's fine to celebrate success but it is more important to heed the lessons of failure
138,Arlan Hamilton,"I can’t tell you how many times I’ve been given a no. Only to find that a better, brighter, bigger yes was right around the corner"
139,Henry Ford,"When everything seems to be going against you, remember that the airplane takes off against the wind, not with it"
140,Wayne Dyer,You cannot always control what goes on outside. But you can always control what goes on inside
141,Aristotle,"We are what we repeatedly do. Excellence, then, is not an act, but a habit"
142,Arthur Ashe,Start where you are. Use what you have. Do what you can
143,Ross Simmonds,Hustle beats talent when talent doesn’t hustle
144,Mark Twain,The two most important days in your life are the day you’re born and the day you find out why
145,Pema Chodron,Nothing ever goes away until it teaches us what we need to know
146,Bruce Lee,We can see through others only when we can see through ourselves
147,Octavia Butler,First forget inspiration. Habit is more dependable. Habit will sustain you whether you're inspired or not. Habit will help you finish and polish your stories. Inspiration won't. Habit is persistence in practice
148,Robert Frost,The best way out is always through
149,Jesse Owens,"The battles that count aren't the ones for gold medals. The struggles within yourself—the invisible, inevitable battles inside all of us—that's where it's at"
150,Frederick Douglass,"If there is no struggle, there is no progress"
151,Bill Walsh,"Someone will declare, “I am the leader!” and expect everyone to get in line and follow him or her to the gates of heaven or hell. My experience is that it doesn’t happen that way. Others follow you based on the quality of your actions rather than the magnitude of your declarations"
152,Ruth Gordo,Courage is like a muscle. We strengthen it by use
153,Paul Graham,"Relentlessly prune bullshit, don't wait to do things that matter, and savor the time you have. That's what you do when life is short"
154,Marcus Tullius Cicero,More is lost by indecision than wrong decision
155,Thomas Aquinas,"If the highest aim of a captain were to preserve his ship, he would keep it in port forever"
156,Dita Von Teese,"You can be the ripest, juiciest peach in the world, and there's still going to be somebody who hates peaches"
157,Cormac McCarthy,"Keep a little fire burning; however small, however hidden"
158,Dr. Seuss,You’ll never get bored when you try something new. There’s really no limit to what you can do
159,Don Cheadle,I think it’s intoxicating when somebody is so unapologetically who they are
160,Leymah Gbowee,You can never leave footprints that last if you are always walking on tiptoe
161,Dolly Parton,"If you don’t like the road you’re walking, start paving another one"
162,Childish Gambino,"If it makes you nervous, you’re doing it right"
163,Jane Goodall,"What you do makes a difference, and you have to decide what kind of difference you want to make"
164,Louise Hay,I choose to make the rest of my life the best of my life
165,Coco Chanel,In order to be irreplaceable one must always be different
166,Kurt Vonnegut,"Anything can make me stop and look and wonder, and sometimes learn"
167,Constance Wu,People's passion and desire for authenticity is strong
168,Sonia Sotomayor,A surplus of effort could overcome a deficit of confidence
169,Jennifer Lopez,Doubt is a killer. You just have to know who you are and what you stand for
170,Billie Jean King,No one changes the world who isn’t obsessed
171,Mia Hamm,"I learned a long time ago that there is something worse than missing the goal, and that’s not pulling the trigger"
172,Michael Jordan,"Some people want it to happen, some wish it would happen, others make it happen"
173,Charlie Munger,"It is remarkable how much long-term advantage people like us have gotten by trying to be consistently not stupid, instead of trying to be very intelligent"
174,Tina Fey,"You can’t be that kid standing at the top of the waterslide, overthinking it. You have to go down the chute"
175,Melissa McCarthy,"When I believe in something, I’m like a dog with a bone"
176,Anaïs Nin,And the day came when the risk to remain tight in a bud was more painful than the risk it took to blossom
177,David Hurley,"The standard you walk past, is the standard you accept"
178,Gilbert K. Chesterton,I've searched all the parks in all the cities and found no statues of committees
179,Winston Churchill,Success is stumbling from failure to failure with no loss of enthusiasm
180,Theodore Roosevelt,"Keep your eyes on the stars, and your feet on the ground"
181,Eleanor Roosevelt,"Do not stop thinking of life as an adventure. You have no security unless you can live bravely, excitingly, imaginatively; unless you can choose a challenge instead of competence"
182,Vince Lombardi,Perfection is not attainable. But if we chase perfection we can catch excellence
183,Walt Disney,"Get a good idea and stay with it. Dog it, and work at it until it’s done right"
184,Helen Keller,Optimism is the faith that leads to achievement. Nothing can be done without hope and confidence
185,Laird Hamilton,Make sure your worst enemy doesn’t live between your own two ears
186,Lucius Annaeus Seneca,It is a rough road that leads to the heights of greatness
187,Vincent van Gogh,"For the great doesn’t happen through impulse alone, and is a succession of little things that are brought together"
188,Maria Edgeworth,"If we take care of the moments, the years will take care of themselves"
189,Unknown,Resilience is when you address uncertainty with flexibility
190,Raymond Joseph Teller,Sometimes magic is just someone spending more time on something than anyone else might reasonably expect
191,Paul Bryant,It’s not the will to win that matters—everyone has that. It’s the will to prepare to win that matters
192,Henry David Thoreau,"As a single footstep will not make a path on the earth, so a single thought will not make a pathway in the mind. To make a deep physical path, we walk again and again. To make a deep mental path, we must think over and over the kind of thoughts we wish to dominate our lives"
193,Earl Nightingale,Never give up on a dream just because of the time it will take to accomplish it. The time will pass anyway
194,C.S. Lewis,True humility is not thinking less of yourself; it is thinking of yourself less
195,George Addair,Everything you've ever wanted is sitting on the other side of fear
196,Ayn Rand,The question isn't who is going to let me; it's who is going to stop me
197,Babe Ruth,Every strike brings me closer to the next home run
198,Thomas A. Edison,"I have not failed. I've just found 10,000 ways that won't work"
199,Drew Houston,Don’t worry about failure; you only have to be right once
200,Diane von Furstenberg,You carry the passport to your own happiness
201,Drake,Never let success get to your head and never let failure get to your heart
202,Robin Sharma,Ideation without execution is delusion
203,Walt Disney,"All our dreams can come true, if we have the courage to pursue them"
204,Mark Twain,The secret of getting ahead is getting started
205,Michael Jordan,"I’ve missed more than 9,000 shots in my career. I’ve lost almost 300 games. 26 times I’ve been trusted to take the game winning shot and missed. I’ve failed over and over and over again in my life and that is why I succeed"
206,Mary Kay Ash,"Don’t limit yourself. Many people limit themselves to what they think they can do. You can go as far as your mind lets you. What you believe, remember, you can achieve"
207,Chinese Proverb,The best time to plant a tree was 20 years ago. The second best time is now
208,Roy T. Bennett,"It’s only after you’ve stepped outside your comfort zone that you begin to change, grow, and transform"
209,Roy T. Bennett The Light in the Heart,"More smiling, less worrying. More compassion, less judgment. More blessed, less stressed. More love, less hate"
210,Roy T. Bennett The Light in the Heart,"Keep Going
Your hardest times often lead to the greatest moments of your life. Keep going. Tough situations build strong people in the end"
211,Roy T. Bennett The Light in the Heart,"Pursue what catches your heart, not what catches your eyes"
212,Lou Holtz,"It's not the load that breaks you down, it's the way you carry it"
213,Roy T. Bennett The Light in the Heart,Start each day with a positive thought and a grateful heart
214,Roy T. Bennett The Light in the Heart,Be grateful for what you already have while you pursue your goals.
215,Roy T. Bennett The Light in the Heart,"If you aren’t grateful for what you already have, what makes you think you would be happy with more"
216,Roy T. Bennett The Light in the Heart,"Life is about accepting the challenges along the way, choosing to keep moving forward, and savoring the journey"
217,Roy T. Bennett The Light in the Heart,Be brave to stand for what you believe in even if you stand alone
218,Roy T. Bennett The Light in the Heart,"Great things happen to those who don't stop believing, trying, learning, and being grateful"
219,Viktor E. Frankl,"When we are no longer able to change a situation, we are challenged to change ourselves"
220,Roy T. Bennett The Light in the Heart,Never lose hope. Storms make people stronger and never last forever
221,Roy T. Bennett The Light in the Heart,Do not fear failure but rather fear not trying
222,Thomas Jefferson,Do you want to know who you are? Don't ask. Act! Action will delineate and define you
223,Paulo Coelho Brida,Nothing in the world is ever completely wrong. Even a stopped clock is right twice a day
224,Roy T. Bennett,You never change your life until you step out of your comfort zone; change begins at the end of your comfort zone
225,Roy T. Bennett The Light in the Heart,"Do not let the memories of your past limit the potential of your future. There are no limits to what you can achieve on your journey through life, except in your mind"
226,Roy T. Bennett The Light in the Heart,Let the improvement of yourself keep you so busy that you have no time to criticize others
227,Zig Ziglar Raising Positive Kids in a Negative World,"Of course motivation is not permanent. But then, neither is bathing; but it is something you should do on a regular basis"
228,Walt Disney,The way to get started is to quit talking and begin doing
229,Roy T. Bennett The Light in the Heart,Believe in your infinite potential. Your only limitations are those you set upon yourself
230,Jordan Belfort,The only thing standing between you and your goal is the bullshit story you keep telling yourself as to why you can't achieve it
231,Roy T. Bennett The Light in the Heart,Be Brave and Take Risks: You need to have faith in yourself. Be brave and take risks. You don't have to have it all figured out to move forward
232,Roy T. Bennett The Light in the Heart,"Surround yourself with people who believe in your dreams, encourage your ideas, support your ambitions, and bring out the best in you"
233,Roy T. Bennett The Light in the Heart,"Do what you love, love what you do, and with all your heart give yourself to it"
234,Babe Ruth,It’s hard to beat a person who never gives up
235, Leah Busque,"I wake up every morning and think to myself, ‘how far can I push this company in the next 24 hours"
236,Michele Ruiz,"If people are doubting how far you can go, go so far that you can’t hear them anymore"
237,Arianna Huffington,"We need to accept that we won’t always make the right decisions, that we’ll screw up royally sometimes – understanding that failure is not the opposite of success, it’s part of success"
238,Joss Whedon,"Write it. Shoot it. Publish it. Crochet it, sauté it, whatever. MAKE"
239,William W. Purkey,"You’ve gotta dance like there’s nobody watching, love like you’ll never be hurt, sing like there’s nobody listening, and live like it’s heaven on earth"
240,Neil Gaiman,"Fairy tales are more than true: not because they tell us that dragons exist, but because they tell us that dragons can be beaten"
241,Pablo Picasso,Everything you can imagine is real
242,Helen Keller,"When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us"
243,Eleanor Roosevelt,Do one thing every day that scares you
244,Lewis Carroll,"It’s no use going back to yesterday, because I was a different person then"
245,Socrates,"Smart people learn from everything and everyone, average people from their experiences, stupid people already have all the answers"
246,Eleanor Roosevelt,Do what you feel in your heart to be right – for you’ll be criticized anyway
247,Dalai Lama XIV,Happiness is not something ready made. It comes from your own actions
248,Abraham Lincoln,"Whatever you are, be a good one"
249,Unknown,The same boiling water that softens the potato hardens the egg. It’s what you’re made of. Not the circumstances
250,Catherine Pulsifier,If we have the attitude that it’s going to be a great day it usually is
251,Unknown,You can either experience the pain of discipline or the pain of regret. The choice is yours
252,Paulo Coelho,“Impossible is just an opinion
253,Isabelle Lafleche,Your passion is waiting for your courage to catch up
254,Johann Wolfgang Von Goethe,"Magic is believing in yourself. If you can make that happen, you can make anything happen"
255,Elon Musk,"If something is important enough, even if the odds are stacked against you, you should still do it"
256,Unknown,"Hold the vision, trust the process"
257,John D. Rockefeller,Don’t be afraid to give up the good to go for the great
258,Unknown,People who wonder if the glass is half empty or full miss the point. The glass is refillable
259,Jaymin Shah,"No one is to blame for your future situation but yourself. If you want to be successful, then become Successful"
260,Vincent Van Gogh,"If you hear a voice within you say ‘you cannot paint,’ then by all means paint and that voice will be silenced"
261,Aly Raisman,The hard days are what make you stronger
262,Wayne Dyer,"If you believe it’ll work out, you’ll see opportunities. If you don’t believe it’ll work out, you’ll see obstacles"
263,Shonda Rhimes,You can waste your lives drawing lines. Or you can live your life crossing them
264, George Lorimer,You’ve got to get up every morning with determination if you’re going to go to bed with satisfaction
265,Michelle Obama,I now tried a new hypothesis: It was possible that I was more in charge of my happiness than I was allowing myself to be
266,Mahatma Gandhi,"In a gentle way, you can shake the world"
267,Kurt Cobain,"If opportunity doesn’t knock, build a door"
268,Roy T. Bennett,Don’t be pushed around by the fears in your mind. Be led by the dreams in your heart
269,Frank Ocean,"Work hard in silence, let your success be the noise."
270,H. Jackson Brown Jr.,"Don’t say you don’t have enough time. You have exactly the same number of hours per day that were given to Helen Keller, Pasteur, Michelangelo, Mother Teresa, Leonardo Da Vinci, Thomas Jefferson, and Albert Einstein"
271,Tim Notke,Hard work beats talent when talent doesn’t work hard
272,Mario Andretti,"If everything seems to be under control, you’re not going fast enough"
273,Jimmy Johnson,The only difference between ordinary and extraordinary is that little extra
274,Oscar Wilde,The best way to appreciate your job is to imagine yourself without one
275,Benjamin Hardy,Unsuccessful people make their decisions based on their current situations. Successful people make their decisions based on where they want to be
276,Kamari aka Lyrikal,Never stop doing your best just because someone doesn’t give you credit
277,Leah LaBelle,"Work hard for what you want because it won’t come to you without a fight. You have to be strong and courageous and know that you can do anything you put your mind to. If somebody puts you down or criticizes you, just keep on believing in yourself and turn it into something positive"
278,Conan O’Brien,"Work hard, be kind, and amazing things will happen"
279,Albert Einstein,In the middle of every difficulty lies opportunity
280,Unknown,"Don’t quit yet, the worst moments are usually followed by the most beautiful silver linings. You have to stay strong, remember to keep your head up and remain hopeful"
281,John F Kennedy,When written in Chinese the word “crisis” is composed of two characters – one represents danger and the other represents opportunity
282,John C. Maxwell,Dreams don’t work unless you do
283,Dr. Wayne D. Dyer,Go the extra mile. It’s never crowded there
284,Walt Whitman,Keep your face always toward the sunshine – and shadows will fall behind you
285,Lionel from Maid in Manhattan Movie,What defines us is how well we rise after falling
286,Unknown,H.O.P.E. = Hold On. Pain Ends
287,John Wooden,Make each day your masterpiece
288,Confucius,"Wherever you go, go with all your heart"
289,Oprah,Turn your wounds into wisdom
290,Helen Keller,We can do anything we want to if we stick to it long enough
291,John Cage,Begin anywhere
292,Katharine Hepburn,"If you obey all the rules, you miss all the fun"
293,Herb Brooks,You were born to be a player. You were meant to be here. This moment is yours
294,Frank Herbert, must not fear. Fear is the mind-killer. Fear is the little-death that brings total obliteration. I will face my fear. I will permit it to pass over me and through me. And when it has gone past I will turn the inner eye to see its path. Where the fear has gone there will be nothing. Only I will remain
295,Roy T. Bennett,Attitude is a choice. Happiness is a choice. Optimism is a choice. Kindness is a choice. Giving is a choice. Respect is a choice. Whatever choice you make makes you. Choose wisely
296,Roy T. Bennett,Don't be pushed around by the fears in your mind. Be led by the dreams in your heart
297,Roy T. Bennett,Live the Life of Your Dreams: Be brave enough to live the life of your dreams according to your vision and purpose instead of the expectations and opinions of others
298,Roy T. Bennett,"Believe in yourself. You are braver than you think, more talented than you know, and capable of more than you imagine"
299,Roy T. Bennett,"s only after youâve stepped outside your comfort zone that you begin to change, grow, and transform"
300,Steve Maraboli,"The truth is, unless you let go, unless you forgive yourself, unless you forgive the situation, unless you realize that the situation is over, you cannot move forward"
301,Roy T. Bennett,"Do what is right, not what is easy nor what is popular"
302,Steve Maraboli,Dare to Be
303,Roy T. Bennett,"Success is not how high you have climbed, but how you make a positive difference to the world"
304,Roy T. Bennett,Be grateful for what you already have while you pursue your goals
305,Steve Maraboli,"Letting go means to come to the realization that some people are a part of your history, but not a part of your destiny"
306,Viktor E. Frankl,"Everything can be taken from a man but one thing: the last of the human freedoms to choose one's attitude in any given set of circumstances, to choose one's own way"
307,Zig Ziglar,"Lack of direction, not lack of time, is the problem. We all have twenty-four hour days"
308,Steve Maraboli,Cry. Forgive. Learn. Move on. Let your tears water the seeds of your future happiness
309,Steve Maraboli,Incredible change happens in your life when you decide to take control of what you do have power over instead of craving control over what you don't
310,Steve Maraboli,"Happiness is not the absence of problems, it's the ability to deal with them"
311,Confucius,The man who moves a mountain begins by carrying away small stones
312,Arthur C. Clarke,The only way of discovering the limits of the possible is to venture a little way past them into the impossible
313,Roy T. Bennett,Surround Yourself with People Who Believe in Your Dreams
